Date,Adj Close,Close,High,Low,Open,Volume
27-05-2026,1165.199951,1165.199951,1169.800049,1153.699951,1155.300049,1004168
28-05-2026,1165.199951,1165.199951,1165.199951,1165.199951,1165.199951,0
29-05-2026,1183.800049,1183.800049,1191.699951,1177,1180,12446602
01-06-2026,1195.099976,1195.099976,1212.800049,1190.099976,1190.099976,5970435
02-06-2026,1243.5,1243.5,1257,1202.199951,1210,7663067
03-06-2026,1179,1179,1230,1176.800049,1228.800049,4800922
04-06-2026,1168.300049,1168.300049,1176.5,1158.199951,1166.400024,2025595
05-06-2026,1154.699951,1154.699951,1182.5,1147,1179,1971395
08-06-2026,1151.300049,1151.300049,1159,1132.300049,1141.900024,1546444
09-06-2026,1146.300049,1146.300049,1159,1136.400024,1158.699951,2225582
10-06-2026,1132.099976,1132.099976,1152,1130,1140.800049,1600595
11-06-2026,1110.199951,1110.199951,1114,1089.5,1112.900024,3435236
12-06-2026,1109.599976,1109.599976,1122.5,1100.5,1120,2203987
15-06-2026,1119.300049,1119.300049,1128,1113,1123.5,2361006
16-06-2026,1159,1159,1161.900024,1137.5,1141,8343470
17-06-2026,1166.800049,1166.800049,1173.599976,1159.300049,1169,2263670
18-06-2026,1161.800049,1161.800049,1168.800049,1136.099976,1152,3368037
19-06-2026,1131.699951,1131.699951,1136,1091.400024,1110,10014063
22-06-2026,1130.5,1130.5,1148.699951,1127,1136,2312385
23-06-2026,1109.5,1109.5,1125.800049,1105.5,1121.599976,3233429
